event_id,user_id,event_type,product_id,event_time
1,783,visit,,2025-09-25 19:55:00
2,783,product_view,1067.0,2025-09-25 19:57:00
3,783,add_to_cart,1067.0,2025-09-25 19:59:00
4,783,checkout,1067.0,2025-09-25 20:01:00
5,675,visit,,2025-09-08 04:13:00
6,675,product_view,1058.0,2025-09-08 04:18:00
7,675,add_to_cart,1058.0,2025-09-08 04:20:00
8,633,visit,,2025-09-29 16:58:00
9,633,product_view,1089.0,2025-09-29 17:00:00
10,1157,visit,,2025-07-21 10:04:00
11,1157,product_view,1118.0,2025-07-21 10:05:00
12,1157,add_to_cart,1118.0,2025-07-21 10:07:00
13,653,visit,,2025-08-22 13:19:00
14,653,product_view,1113.0,2025-08-22 13:22:00
15,653,add_to_cart,1113.0,2025-08-22 13:24:00
16,653,checkout,1113.0,2025-08-22 13:25:00
17,653,purchase,1113.0,2025-08-22 13:28:00
18,547,visit,,2025-09-11 19:14:00
19,547,product_view,1078.0,2025-09-11 19:16:00
20,736,visit,,2025-09-27 15:08:00
21,736,product_view,1011.0,2025-09-27 15:13:00
22,736,add_to_cart,1011.0,2025-09-27 15:16:00
23,736,checkout,1011.0,2025-09-27 15:18:00
24,736,purchase,1011.0,2025-09-27 15:19:00
25,396,visit,,2025-07-05 13:48:00
26,553,visit,,2025-07-29 23:42:00
27,419,visit,,2025-07-23 14:55:00
28,419,product_view,1009.0,2025-07-23 14:58:00
29,506,visit,,2025-08-21 01:38:00
30,506,product_view,1055.0,2025-08-21 01:42:00
31,808,visit,,2025-09-12 19:34:00
32,808,product_view,1079.0,2025-09-12 19:35:00
33,808,add_to_cart,1079.0,2025-09-12 19:39:00
34,808,checkout,1079.0,2025-09-12 19:40:00
35,504,visit,,2025-09-07 12:47:00
36,504,product_view,1067.0,2025-09-07 12:51:00
37,504,add_to_cart,1067.0,2025-09-07 12:52:00
38,504,checkout,1067.0,2025-09-07 12:54:00
39,504,purchase,1067.0,2025-09-07 12:56:00
40,945,visit,,2025-08-24 09:39:00
41,1414,visit,,2025-07-19 14:53:00
42,1414,product_view,1067.0,2025-07-19 14:54:00
43,232,visit,,2025-09-13 22:34:00
44,232,product_view,1024.0,2025-09-13 22:38:00
45,232,add_to_cart,1024.0,2025-09-13 22:39:00
46,232,checkout,1024.0,2025-09-13 22:42:00
47,414,visit,,2025-08-28 02:16:00
48,414,product_view,1113.0,2025-08-28 02:18:00
49,254,visit,,2025-07-15 22:28:00
50,254,product_view,1012.0,2025-07-15 22:29:00
51,254,add_to_cart,1012.0,2025-07-15 22:33:00
52,1048,visit,,2025-07-21 12:35:00
53,1048,product_view,1079.0,2025-07-21 12:37:00
54,1159,visit,,2025-09-23 04:10:00
55,367,visit,,2025-07-07 13:19:00
56,367,product_view,1099.0,2025-07-07 13:23:00
57,367,add_to_cart,1099.0,2025-07-07 13:25:00
58,367,checkout,1099.0,2025-07-07 13:26:00
59,8,visit,,2025-08-02 00:29:00
60,8,product_view,1080.0,2025-08-02 00:33:00
61,8,add_to_cart,1080.0,2025-08-02 00:34:00
62,8,checkout,1080.0,2025-08-02 00:36:00
63,8,purchase,1080.0,2025-08-02 00:39:00
64,975,visit,,2025-08-22 14:05:00
65,975,product_view,1059.0,2025-08-22 14:06:00
66,975,add_to_cart,1059.0,2025-08-22 14:09:00
67,975,checkout,1059.0,2025-08-22 14:12:00
68,426,visit,,2025-07-24 04:03:00
69,426,product_view,1007.0,2025-07-24 04:04:00
70,426,add_to_cart,1007.0,2025-07-24 04:05:00
71,1236,visit,,2025-08-12 02:03:00
72,1236,product_view,1039.0,2025-08-12 02:05:00
73,1236,add_to_cart,1039.0,2025-08-12 02:08:00
74,1236,checkout,1039.0,2025-08-12 02:11:00
75,1236,purchase,1039.0,2025-08-12 02:14:00
76,364,visit,,2025-09-13 11:59:00
77,364,product_view,1059.0,2025-09-13 12:02:00
78,364,add_to_cart,1059.0,2025-09-13 12:06:00
79,876,visit,,2025-09-09 02:18:00
80,876,product_view,1108.0,2025-09-09 02:19:00
81,563,visit,,2025-09-06 13:33:00
82,563,product_view,1043.0,2025-09-06 13:35:00
83,224,visit,,2025-09-19 16:05:00
84,224,product_view,1074.0,2025-09-19 16:10:00
85,1448,visit,,2025-08-24 19:54:00
86,1448,product_view,1037.0,2025-08-24 19:59:00
87,1277,visit,,2025-07-17 19:36:00
88,1277,product_view,1046.0,2025-07-17 19:40:00
89,1277,add_to_cart,1046.0,2025-07-17 19:42:00
90,477,visit,,2025-08-07 06:00:00
91,477,product_view,1091.0,2025-08-07 06:04:00
92,242,visit,,2025-07-27 19:26:00
93,242,product_view,1095.0,2025-07-27 19:29:00
94,242,add_to_cart,1095.0,2025-07-27 19:31:00
95,242,checkout,1095.0,2025-07-27 19:32:00
96,242,purchase,1095.0,2025-07-27 19:34:00
97,631,visit,,2025-09-03 17:20:00
98,631,product_view,1039.0,2025-09-03 17:21:00
99,700,visit,,2025-09-11 19:01:00
100,700,product_view,1051.0,2025-09-11 19:03:00
101,700,add_to_cart,1051.0,2025-09-11 19:06:00
102,982,visit,,2025-08-30 01:41:00
103,982,product_view,1118.0,2025-08-30 01:43:00
104,1100,visit,,2025-08-12 14:50:00
105,1100,product_view,1115.0,2025-08-12 14:51:00
106,614,visit,,2025-09-25 10:35:00
107,614,product_view,1073.0,2025-09-25 10:37:00
108,680,visit,,2025-08-15 02:09:00
109,680,product_view,1103.0,2025-08-15 02:10:00
110,680,add_to_cart,1103.0,2025-08-15 02:14:00
111,680,checkout,1103.0,2025-08-15 02:15:00
112,680,purchase,1103.0,2025-08-15 02:17:00
